,name,position,minutes,cost,total_points,value,points_per_90
0,Bernd Leno,Goalkeeper,3131,5.0,131,26.2,3.77
2,Willian Borges Da Silva,Midfielder,1398,6.5,78,12.0,5.02
3,Pierre-Emerick Aubameyang,Forward,2330,10.0,131,13.1,5.06
4,Cédric Soares,Defender,744,4.5,28,6.2,3.39
5,Alexandre Lacazette,Forward,1916,8.5,129,15.2,6.06
6,Granit Xhaka,Midfielder,2519,5.0,70,14.0,2.5
7,Pablo Marí,Defender,900,4.5,34,7.6,3.4
8,Héctor Bellerín,Defender,2089,5.0,94,18.8,4.05
9,Calum Chambers,Defender,751,4.5,36,8.0,4.31
11,Mohamed Naser El Sayed Elneny,Midfielder,1538,4.5,50,11.1,2.93
12,Ainsley Maitland-Niles,Midfielder,1714,5.5,68,12.4,3.57
13,Rob Holding,Defender,2557,4.5,105,23.3,3.7
14,Thomas Partey,Midfielder,1529,5.0,47,9.4,2.77
15,Kieran Tierney,Defender,2299,5.0,96,19.2,3.76
16,Nicolas Pépé,Midfielder,1606,7.5,114,15.2,6.39
18,Joseph Willock,Midfielder,1210,6.0,79,13.2,5.88
20,Emile Smith Rowe,Midfielder,1438,5.5,74,13.5,4.63
21,Bukayo Saka,Midfielder,2554,6.5,114,17.5,4.02
22,Gabriel Magalhães,Defender,1996,5.0,78,15.6,3.52
25,Gabriel Teodoro Martinelli Silva,Midfielder,582,5.5,36,6.5,5.57
29,Emiliano Martínez,Goalkeeper,3420,5.5,186,33.8,4.89
31,Bertrand Traoré,Midfielder,2315,6.0,135,22.5,5.25
32,Jack Grealish,Midfielder,2183,8.0,135,16.9,5.57
34,John McGinn,Midfielder,3330,6.0,114,19.0,3.08
35,Kortney Hause,Defender,630,4.5,32,7.1,4.57
36,Mahmoud Ahmed Ibrahim Hassan,Midfielder,1157,5.5,56,10.2,4.36
37,Tyrone Mings,Defender,3194,5.0,128,25.6,3.61
38,Matt Targett,Defender,3404,5.0,138,27.6,3.65
39,Ollie Watkins,Forward,3328,7.5,168,22.4,4.54
40,Marvelous Nakamba,Midfielder,747,4.5,27,6.0,3.25
41,Anwar El Ghazi,Midfielder,1604,6.0,111,18.5,6.23
43,Matthew Cash,Defender,2373,5.0,89,17.8,3.38
44,Ezri Konsa Ngoyo,Defender,3195,5.0,119,23.8,3.35
49,Douglas Luiz Soares de Paulo,Midfielder,2781,4.5,72,16.0,2.33
50,Jacob Ramsey,Midfielder,611,4.5,28,6.2,4.12
74,Adam Lallana,Midfielder,1584,5.5,58,10.5,3.3
76,Pascal Groß,Midfielder,2479,6.0,116,19.3,4.21
79,Dan Burn,Defender,2057,4.5,64,14.2,2.8
80,Lewis Dunk,Defender,2932,5.0,130,26.0,3.99
81,Solomon March,Midfielder,1670,5.5,69,12.5,3.72
82,Adam Webster,Defender,2594,4.5,85,18.9,2.95
83,Joël Veltman,Defender,2280,4.5,96,21.3,3.79
84,Neal Maupay,Forward,2508,6.5,105,16.2,3.77
85,Leandro Trossard,Midfielder,2602,6.5,132,20.3,4.57
86,Mathew Ryan,Goalkeeper,1260,4.5,37,8.2,2.64
87,Alireza Jahanbakhsh,Midfielder,520,5.5,24,4.4,4.15
88,Ben White,Defender,3192,4.5,104,23.1,2.93
90,Robert Sánchez,Goalkeeper,2430,4.5,101,22.4,3.74
91,Yves Bissouma,Midfielder,3112,4.5,77,17.1,2.23
92,Tariq Lamptey,Defender,887,4.5,35,7.8,3.55
93,Aaron Connolly,Forward,783,5.5,38,6.9,4.37
94,Steven Alzate,Midfielder,892,5.0,35,7.0,3.53
